대번호,소번호,문장,훼손/파손,분실,배송지연,오배송,"기타(임의반품, 불친절, 집하거부 등)",관련없음
120,2,*  김정숙 운송장 번호 : 301366250150,,,,,,y
120,3,"*  피해물품 : 국수 4,500원, 박스 530원, 택배비 2,500원  총 7,530원. ",,,,,,y
121,1," 신청인은 2014.3.28. 피신청인의 택배를 이용하여 개인적으로 소장하고 있던 화보집 1권과 여행안내서 1권, 잡지 3권을 발송하였는데 지인이 수령하지 못 했다고 하여 확인해보니 분실된 사실을 알게됨.",,y,,,,
121,2," 이에 피신청인에게 이의제기하니 택배기사와 직접 해결하라고 하는 바,",,,,,,y
121,3, 신청인은 분실된 제품에 대한 조속한 보상을 요구함.,,y,,,,
121,4,[운송장번호 : 148679090033],,,,,,y
122,1,가. 사건개요,,,,,,y
122,2, 2014.5.28. 신청인은 피신청인(KGB택배)와 운송계약을 체결하고 3명의 아기탯줄을 발송함.,,,,,,y
122,3, 2014.5.29. 신청인은 피신청인의 인터넷 사이트에서 운송장 번호를 검색한 바 ‘도착확인’으로 기재되어있는 것을 확인함.,,,,,,y
122,4," 2014.6.9. 신청인은 택배 수취인에게 화물의 도착을 유선으로 확인해보았지만, 수취인은 화물을 받은 적이 없다는 안내를 받음.",,,,,,y
122,5," 이에 신청인은 피신청인 고객센터와 종로대리점 등에 문의를 하였고, 피신청인의 귀책으로 화물이 분실되었다는 답변을 받음.",,y,,,,
122,6," 2014.6.17. 화물을 분실한 피신청인 종로대리점에서 사과하였으나, 분실로 인한 사고처리의 책임은 집하점인 분당지점으로 미루며 물건의 가액이 없으므로 보상이 불가능하다는 답변을 받음.",,,,,,y
122,7,나. 신청인주장,,,,,,y
122,8, 4년에 걸쳐 보관해 온 세 아이의 탯줄의 가치에 상응하는 금액 및 아이 탯줄 분실로 만들지 못한 도장 3개의 금액에 대한 배상,,,,,,y
122,9," 도장 3개의 값(258,000원)+배송비(2,500원) = 260,500원",,,,,,y
122,10," 이에 금액으로 산정할 수 없는 탯줄의 가치를 더하여 공정거래위원회 고시 소비자분쟁해결기준에 의거 손해배상 한도액 500,000원을 요청함.",,,,,,y
123,1,신청인은 2014.6.11. 11:00경 현대택배 함양대리점 택배기사에게 연락하여 매실 7박스(85kg 정도)와 양파 1/3망을 경기도 화성 동탄시(신청인의 아들/대리인)과 지인에게 당일 배송을 요청하고 과수원에 나무 막대기로 깔고 위에 매실을 놓은 후 비닐과 이불로 덮어둠.,,,,,,y
123,2,"택배기사가 오지를 않아  함양대리점을 직접 방문하여 현장위치와 배송처 주소를 알려주고 택배비용 35,000원을 지불한 후 버스를 타고 화성으로 올라옴.",,,,,,y
123,3,"그런데 다음 날 배송이 안 되어 택배기사에게 전화해 보니 바빠서 물품을 가져가지 못 했고 가보니 이미 비로 인해 손상되어 배송할 수 없었다고 해 손해배상(대략 매실 212,500원/양파는 괜찮음) 및 택배비 환급을 요구하였으나 배상이 안 되고 잇으며, 현대백배 측은 송장번호가 없다며 책임을 회피함.",y,,,,,
123,4,신청인은 적절한 손해배상을 요구함.,,,,,,y
123,5,* 대리인 : 강위석(신청인의 아들/ 01090367766),,,,,,y
124,1, 신청인의 지인(엄설화)가 2014.5.22. 편의점에서 중국신분증과 여권을 신청인에게 택배 발송할 것임을 얘기하니 직원이 봉투에 넣도록 안내하여 피신청인 택배로 신청인에게 중국 신분증과 여권을 발송함.,,,,,,y
124,2,  * 경기도 시흥 > 울산,,,,,,y
124,3,  * 운송장번호 : 8280691683,,,,,,y
124,4, 이후 신청인에게 배송되지 않고 분실되어 피신청인에게 분실사실을 알렸으나 처리가 지연됨.,,y,,,,
124,5," 신청인은 중국신분증의 발급을 위해 중국을 방문할 시간이 없고, 여권 재발급을 위해 비용이 발생하였으며, 곧 결혼할 예정이어서 신분증이 필요한 상황이나 처리가 지연되고 있어 신속한 처리를 요구하며 우리 원에 피해구제 신청함. ",,,,,,y
125,1,"  신청인은 2014.5.13 피신청인의 종로점에게 잉크무한충전기를 택배 운송(501003385455)을 의뢰하고,  택배비는 3,500원 현금 결제함.(영수증분실함.)",,,,,,y
125,2," 2014년5월15일 오전7시35분 택배가 파손 되었다며  집으로 가져다 주겠다는 통보성 전화가 왔었고,  오후8시경 물품을 확인 해 보니, 발로 밟거나 크고 무거운 짐이 발송한 택배를 파손시켰음을 바로 알 수 있었음.",y,,,,,
125,3," 이에 5월 15일 오후9시경 피신청인 사이트에 피해관련 신고를 하였으나, 이후 연락오지 않다가 문자로 배상요구하자,  5월 24일  연락이 왔는데 편의점에서 한진택배 집하장으로 물건이 입고가 되지 않았기에 파손에 따른 보상은 안된다고 함.",,,,,,y
125,4," 항의를 하자 택배비 3,500원 보내 줄테니 계좌번호 불러달라는  소리만 하다가 연락 단절 됨.",,,,,,y
125,5," 신청인은 잉크무한충전기(78,000원:새제품, 영수증 없음)에 대한 배상을 요구함.",,,,,,y
125,6,* 운송장번호 : 501003385455,,,,,,y
126,1," 신청인은 2014.4.21. 피신청인의 홈페이지를 통해 딸(안채연)의 주소지로 반찬 배송을 예약하고, 4.22. 구미지소 기사가 방문하여 물품(반찬)을 수거해감.",,,,,,y
126,2, 그런데 4.23. 대전 탄방동 지소 택배 기사(안희관)가 신청인에게 연락하여 수취인과 연락이 안된다며 택배물을 반송하겠다고 하여 신청인은 반송시 음식물이 상하게 되니 대문 앞에 두고 갈 것을 당부하였으며 분실에 대해서는 책임을 지겠다고 함.,,,,,,y
126,3, 그러나 바로 딸이 집에 도착해보니 택배물은 없었고 신청인이 4.24. 물품을 찾으려고 고객센터 통해 기사에게 연락해보니 과거에 수취인(안채연)이 주문한 냉동식품을 문 앞에 두고 갔다가 녹았던 일로 항의를 받은 적 있어 그냥 반송처리하였다고 함.  ,,,,,,y
126,4, 신청인은 피신청인의 기사가 사전에 방문에 대한 연락도 없었으며 수취인에게 한번 전화 후 연락이 되지 않았다고 임의대로 반송처리하여 피신청인의 고객센터로 이의제기하는 글을 남겼으나 답변이 없었음.,,,,,,y
126,5, 그런데 4.26. 오전 9시경 구미지소에서 딸에게 연락해 반송료 6천원을 결제하지 않을 경우에는 물품을 돌려 줄 수 없다고 함.,,,,,,y
126,6, 4.30. 신청인은 피신청인에게 내용증명을 발송하고 소비자 상담 센터를 통해 민원을 제기하였으나 피신청인은 현재까지 보상 문제에 대해 회신을 하지 않고 있는 상태임.,,,,,,y
126,7," 신청인은 피신청인의 수취인 부재에 대한 조치가 미흡하였고, 임의대로 반품 처리하여 피해가 발생한바, 반송료 청구 취소 및 훼손된 반찬류에 대한 적정 손해배상을 요구함.",,,,,y,
126,8,* 택배운송장번호 : 7686590131,,,,,,y
127,1," 신청인은 보유하고 있던 자전거바퀴(삼발이)를 2014. 6. 17. 피신청인 1에게 요청하기를 피신청인 2를 통하여 해당 제품 구매자에게 배송(착불)을 의뢰하고 운송장에 '고가, 파손' 및 물건가격에는 '270,000원'이라고 기재한 다음 포장비 금 5,000원을 지불하였으며, 신청인의 요청을 받은 피신청인 1은 피신청인 2에게 의뢰하여 제품을 해당 구매자에게 배송 요청하였음.",,,,,,y
127,2," 그런데 신청인이 택배 배송을 요청한 제품은 신청인이 과거 1년 이내에 지인으로부터 중고로 350,000원에 구입하였던 자전거바퀴인데, 신청인은 동 제품을 사용하고 있다가 중고로 판매하기 위해 인터넷사이트에 판매의사를 밝히고 구매자를 찾고 있던 중 구매자가 나타나자 동 제품을 피신청인 1을 통하여 포장을 하여 배송하기 위한 목적으로 피신청인 1에게 피신청인 2를 통하여 택배 배송을 의뢰하였던 것임.",,,,,,y
127,3," 그러나 피신청인 1은 신청인의 요청을 받아 피신청인 2를 이용하여 해당 구매자에게 동 제품을 배송하였는데, 구매자가 제품을 받아 확인해 보니 택배 양쪽 박스에 구멍이 나있고 자전거바퀴의 도장이 벗겨져 있었으며 안쪽에 실금(균열)이 발생한 상태라며 구입의사를 철회하고 우체국택배를 통해 피신청인 1에게 반송되었던 것임.",y,,,,,
127,4," 이에 신청인은 동 제품이 훼손된 상태로 구매자로부터 반송되었는데 구매자에게 판매를 하기 위해 피신청인 1에게 포장 및 택배 배송을 의뢰하기 전까지는 제품이 훼손되었던 상태가 아니라고 주장하며 피신청인 1 및 2에게 책임질 것을 요구하였으나, 피신청인 1은 신청인의 요청에 따라 동 제품을 택배 배송 의뢰하였을 뿐이라며 훼손에 대한 책임이 없다고 주장하고 택배 배송 중 또는 구매자에 의해 훼손된 것으로 보인다며 피신청인 2 또는 구매자에게 손해배상을 요구하라고 하였음.",y,,,,,
127,5," 그러나 피신청인 2는 구매자가 제품을 우체국택배를 이용하여 반송하였기 때문에 반송 전의 상태를 확인할 수 없다며 배상을 거부하고 있는 바, 신청인은 피신청인 1 및 2 또는 구매자에게 제품 훼손에 대한 손해배상을 요구함.",y,,,,,
127,6,* 택배 운송장 번호 : 12547971321,,,,,,y
128,1," 신청인은 2014. 6. 9. 피신청인에게 김치 운송의뢰하고, 택배비 5,000원 현금결제함.",,,,,,y
128,2," 택배는 6.9. 신청인의 어머니가 강원도 고성점(0336820012)을 통해 접수하였고, 본인에게 김치를 보냈는데 소식이 없어, 6.11. 피신청인측에 확인결과.  오배송으로 인하여 지연되고 있다고  확인하였고,  택배기사와 통화하여 오배송되어 택배가 지연되어 빠른 배송 부탁하였으나 오늘 물건을 인계 받았고  냄새가 심하게 남.",,,,y,,
128,3," 이에 피신청인 고객센터에 통화하여 내용물이 냄새가 심하다고  문의하자, 일단 택배 확인하고 다음날 통화하자로 하여, 6.11. 20:21 택배수령하여 보니, 아이스박스 파손에 따른 CJ 테이프로 재포장 되었고, 김치는 상하여 악취발생, 재포장 흔적으로 보관이 불가하여 음식물쓰레기함에 버리고, 아이스박스는 재활용 수거일이 따로 있어 씻어서 보관함.",,,,,,y
128,4," 6.12. 피신청인에게 고객불만 접수하였고  답변은 송장제거 확인불가, 송장번호 입력을 잘못했다고 하는데 확인불가, 포장 재포장 확인불가하다고 하였고, 김치 5kg에대한 보상은 34,000원을 배상하겠다고 함.",,,,,,y
128,5," 신청인은  실손금액 5만원(김치의 재료 및 택배비 등), 피해보상금 5만원(변질된 음식물쓰레기처리 및 50번 넘게 7일간 3시간이 넘는 전화통화) 배상을 요구함.",,,,,,y
128,6,  * 운송장:101343048070,,,,,,y
129,1," 신청인은 2014.6.3. 11번가에서 공디스크를 주문하고, 27,400원을 신용카드 일시불로 결제함.",,,,,,y
129,2," 그런데 배송이 안되어 11번가에 문의하니 주문시 요청사항에 ""대한통운택배 제외와 집 앞에서 전화하세요.""로 표기하여 반송처리 되었다며 택배비를 부담하라고 함.",,,,,y,
129,3, 신청인은 반품비 청구 취소 및 손해배상을 요구함.,,,,,,y
130,1, 신청인은  2014. 6. 3. 인터넷쇼핑몰(인터파크)을 통해 약 2만원(배송비 포함) 상당의 물품을 구매함.,,,,,,y
130,2," 구매 물품은 피신청인을 통해 6. 5. 배송되었으나, 본인의 부재로 수령이 불가하여 택배 배송사원에게 다음 영업일에 배송 해 달라 하였으나, 회사 정책상 물품을 보관할 수 없다고 함.",,,,,,y
130,3, 피신청인 택배사원이 물품을 반송시키는 수밖에 없다고 하여 어쩔수 없이 물건이 반송됨.,,,,,,
130,4," 이후 피신청인 홈페이지를 통해 해당 회사 택배이용약관을 확인 해 보고, 소비자원 문의를 해 본 결과 수하인 부재시 보관 후 배달 해 주도록 되어 있음을 확인함.",,,,,y,
130,5, 피신청인의 반 강제적 반송과 구매물품 수령을 위한 재 발송 비용(합 5천원)이 추가로 발생 됨.,,,,,,y
130,6, 신청인은 공정거래위원회 고시 소비자분쟁해결 기준에 의거하여 재발송한 배송비용 환급을 요구함.,,,,,,y
131,1,"신청인은 2014.4.27. 피신청인1(이베이지마켓)을 통해 피신청인3(롯데닷컴)의 자켓(코오롱스포츠 로건 자켓)을 구매하면서 신용카드 할부로 161,980원 결제함.",,,,,,y
131,2, 2013.5.13. 반품 신청함,,,,,,y
131,3, 2014.5.15. 피신청인2(씨제이대한통운) 택배기사 방문예정 시간에 부재중이라 반품 택배물건은 옥상 가는 계단옆에 두었으며 운송장은 택배 박스가 있던 곳에 두면 된다고 미리 피신청인2 택배기사에게 문자보냄,,,,,,y
131,4, 그런데 피신청인2 택배기사 방문하여 반품물건이 아닌 15일에 알라딘에서 주문한 현대택배로 배송온 도서를 오인하여 회수해감,,,,y,,y
131,5,  * 도서는 5.29. 피신청인3으로부터 되돌려 받음.,,,,,,y
131,6, 2014.5.15. 운송장을 택배 박스가 있던 곳에 두고 가라고 문자 했음에도 현관앞에서 반품송장 발견되었지만 별 문제없이 반품회수 된줄 알았음,,,,,,y
131,7, 2014.5.19. 반품 수거완료 확인했음에도 환급 진행되지 않아 피신청인3의 고객센터 문의함.,,,,,,y
131,8, 2014.5.27. 고객센터에서 반송된 제품이 의류가 아닌 도서라고 알려주어 반품 택배를 보관해 놓았던 옥상 옆 계단을 확인했으나 반품 택배 물건이 없음,,,,,,y
131,9, 과거에도 피신청인2에게 같은 방법으로 이용했어도 아무 문제 없었음,,,,,,y
131,10, 2014.6.18. 분실된 택배 박스 회수 불가능하여 보류중이었던 환급 처리 상태가 배달 완료로 변경됨,,,,,,y
131,11, 피신청인2  택배기사는 잘못된 상품을 반품 회수 한 것은 인정하니 분실된 의류 택배박스는 인수하지 않았기때문에 책임이 없다함.,,,,,,y
131,12, 신청인은 피신청인2의 반품하는 택배박스 분실로 인한 손해배상을 요구함.,,,,,,y
131,13,  * 운송장번호 : 683090765392,,,,,,y
132,1," 신청인은 2014.6.9. 문산소재 공사현장에서 피신청인을 통해 금반지 2개(커플링)를 택배의뢰 하면서 대금 5,000원 현금 지급함",,,,,,y
132,2," 커플링 금반지니 잘 부탁드린다고 기사에게 당부하였으며 (증인있음), 송장은 나중에 전달하겠다고 함.",,,,,,y
132,3," 수신처(홈플러스 1층 디오젬)은 신청인이 정상 기재하였으나, 택배가 유성으로 배달되었으며 홈플러스 물품보관소에서 분실됨.",,y,,,,
132,4, 송장에 기재된 물품란에는 부속이라 기재되어 있고 수신처 주소에서 디오젬이라는 귀금속 매장 이름을 뺀 운송장으로 수취인 불명으로 접수됨.,,,,,,y
132,5," 피신청인은 운송장에 부속이라 쓰여 있어서 분실에도 불구, 약관을 이유로 보상이 불가하다함.",,y,,,,
132,6, 신청인은 분실된 금반지 커플링 손해 배상(55만원)을 요구함.,,y,,,,
132,7,* 운송장번호 2423401026425 유성구앞  파주문산,,,,,,y
133,1,"2014. 5. 29. 신청인은 피신청인의 택배서비스를 이용하여 RF카메라(제조사 마미야)를 대전에서 광주로 발송하였으나 수령후 전면 렌즈 부위가 파손된 것을 확인하였고 국내 공식 서비스센터가 없고 사설 수리업체에서 수리가 불가능하다는 답변을 받아, 택배 의뢰시 기입한 물품가 50,000원 및 택배비용 3,800원 총 53,800원의 환급을 원함.",y,,,,,
133,2,"* 발송자 : 정두영, 01025668846, 대전 유성구 전민동",,,,,,y
133,3,"* 수신자 : 조진혁, 광주 광산구 신가동",,,,,,y
134,1,"  신청인은 2014.6.17. 피신청인에게 미국 버지니아주에 있는 딸에게 대형카펫액자2점, 의류, 목제 공예품을 항공편으로 탁송함.",,,,,,y
134,2,  신청인의 딸이 수령 후 포장을 뜯어 보니 대형액자의 유리와 프레임이 완전 파손되어 피신청인에게 이메일로 파손사진을 보내고 피해보상을 요구하자 운송보험에 가입되지 않다는 이유로 보상을 거절함.  ,y,,,,,
134,3," 신청인 공정거래위원회 고시 소비자분쟁해결 기준에 의거하여 액자 완전파손에 대한 복구비용( US 1,100 ) 보상을 요구함. ",y,,,,,
135,1, 신청인은 2014.6.16. 미국 보스턴에서 경북대학교 의학전문대학원으로 연구용 유전자(Plasmid)를 피신청인을 통해 받기로 함.,,,,,,y
135,2, 6.20. 유전자를 받지 못하였고 배송 관련 연락도 없어 배송조회를 해보니 수취인과 연락이 되지 않아 배송이 지연되고 있다고 하여 배송을 요구함.,,,,,,y
135,3," 6.23. 배송이 완료되었으나 드라이 아이스가 모두 녹아 보관 온도가 중요한 유전자의 특성상 이미 손상이 되어 연구에 사용할 수 없게된바, 피신청인에게 이의제기하니 신청인이 연락을 받지 않아 적정시점에 배송을 하지 못하였음을 주장함.",y,,,,,
135,4," 신청인은 송장에 기록된 번호의 연구실에 사람들이 여러명 있는데, 피신청인이 적극적으로 연락을 취하지 않은 것으로 보이고, 전화 연락이 되지 않더라도 피신청인이 고객계정을 가지고 있으므로 수취인의 휴대폰으로 연락을 했으면 충분히 배송 가능했을 것이고, 택배 내용물의 특성으로 인하여 피신청인의 빠른 서비스를 이용하였음에도 배송 지연으로 훼손된바, 훼손된 유전자에 대한 배상과 배송료의 청구 취소를 요구함.",y,,,,,
135,5,* 페덱스 트래킹넘버: 770300563881,,,,,,y
136,1," 신청인은 2014.6.23. 점순네과일가게를 통해 선물용 참외 1박스를 구입하고 현금 40,000원 결제하였고, 이를 경동택배를 통해 지인에게 발송함.",,,,,,y
136,2," 그러나 2014.6.25. 택배를 받은 지인으로부터 일부 참외가 파손된 상태로 배송됐다는 연락을 받고 경동택배에 이의제기를 하였으나 책임을 회피하고 있는바, 이에 택배 배송중 깨진 참외에 대한 손해배상을 요구함.",y,,,,,
136,3, * 송장번호: 615140602413,,,,,,y
137,1," 신청인은 2014.5.8. 과일(배,사과, 포도:5만원 상당) 1박스를 구매하여 한국(순천)병원앞 경동택배에 당일 택배비용 6,000원을 지불하고 배송의뢰함.",,,,,,y
137,2, 5.12. 배송이 되었고 과일 모두가 부패하여 당시 배송원에게 가져가라하여 가져감.,y,,,,,
137,3, 5.13. 피신청인에게 전화하니 화를 내며 법대로 하라고 하며 전화받지도 않고 일방적으로 끊음.,,,,,,y
137,4, 신청인은 배상요구함.,,,,,,y
138,1," 2014.5.26. 신청인은 이니셜리버티 팔찌를 구매하고 118,000원을 현금 결제함.",,,,,,y
138,2, 2014.6.11. 팔찌 판매자는 피신청인과 운송 계약을 체결하고 신청인이 구매한 물품을 발송함.,,,,,,y
138,3," 2014.6.13. 신청인은 피신청인 택배 기사로부터 해당 운송품이 분실되었다는 확인을 하였고, 6.20 택배 물품 분실사고 발생을 접수 함.",,y,,,,
138,4, 2014.6.24. 신청인은 피신청인 보상팀으로부터 물품가액이 만원으로 기재되어 있어 만원의 보상만이 가능하다는 답변을 받음.,,,,,,y
138,5, 이에 신청인은 관련법령 및 소비자분쟁해결기준에 의거 피신청인의 귀책사유로 인해 분실된 물건의 실제 가격에 대한 보상을 요청함.,,,,,,y
139,1,가. 사건개요,,,,,,y
139,2," 2014.3.29. 신청인은 단골신(피신청인1)과 신발에 대한 계약을 체결하고 34,200원을 현금 결제함.",,,,,,y
139,3," 2014.4.4. 신청인의 이름이 백수현에서 백세자요한으로 개명되어, 실명인증이 되지 않아 현대택배(피신청인3)에서 운송물을 반송 함.",,,,,,y
139,4," 2014.5.29. 신청인은 반송한 물품이 단골신(피신청인1)에게 도착 한 것을 확인하였지만, 피신청인은 물건의 재발송 또는 환급 등의 사후절차를 진행하고 있지 않음.",,,,,y,
139,5,나. 계약사항,,,,,,y
139,6," 총 결제금액: [죠니]블랙 DM SHOES 31,200원 + 배송비 3,000원",,,,,,y
139,7, 주문번호: 2014032984852320,,,,,,y
139,8, 송장번호: 222537485940,,,,,,y
139,9,다. 신청인주장,,,,,,y
139,10, 신청인은 관련법령 및 공정거래위원회 고시 소비자분쟁해결기준에 의거 계약불이행 된 해당 상품의 재발송 또는 환급을 요청함.,,,,,y,
139,11," 배송주소: 경북 의성군 사곡면 양지리 3728번지, 수취인 백세자요한",,,,,,y
139,12, 계좌번호: 국민은행 6226004033659(백세자요한),,,,,,y
140,1,가. 사건개요,,,,,,y
140,2," 2014.1.24. 신청인은 캐나다 벤쿠버로 의류를 보내기 위해 피신청인(디팩스종합물류)과 운송계약을 체결하고 131,300원을 카드 결제함.",,,,,,y
140,3," 화물의 수취자는 물건을 수령하였으나, 박스가 개봉되어 있었고 박스 안에 포장되어있던 의류 일부가 분실 된 것을 확인하여 이에 대한 사고를 접수함.",,y,,,,
140,4, 분당 우체국에서는 사고에 대한 책임을 인정하고 운송장에 기재되어 있는 물품가액 100$를 배상하겠다는 통보를 받음.,,,,,,y
140,5," 신청인은 운송장에 물품가액을 기재한 적이 없어 확인을 해 본 결과, 피신청인이 관세 문제로 운송장에 물품 가액을 임의로 100불로 작성하였다는 것을 알게 됨.",,,,,,y
140,6," 이에 신청인은 피신청인이 사전 고지나 동의 없이 물품 가액을 작성하여 피해를 입게된 바, 피신청인에게 이에 대한 배상을 요청하는 바임.",,,,,,y
140,7,나. 신청인 분실 물품,,,,,,y
140,8," 분실물품 총 금액: 687,340원",,,,,,y
140,9," · 헤지스 레이디 의류 2점 325,710원",,,,,,y
140,10," · 빈폴레디이스 의류 1점 90,630원",,,,,,y
140,11," · 기비 키이스 의류 1점 271,000원",,,,,,y
141,1,가. 사건개요,,,,,,y
141,2," 2014.6.27. 신청인은 피신청인(일양로지스)과 컴퓨터 본체 1대와 모니터 2대에 대한 운송계약을 체결하고 108,600원을 결제함.",,,,,,y
141,3," 2014.6.30. 신청인은 물건을 수령하였으나, 도착물품 중 1개의 모니터가 파손된 것을 확인하고 피신청인에게 피해보상을 신청함.",y,,,,,
141,4, 2014.7.1. 신청인은 피신청인으로부터 포장 불량으로 인한 신청인 과실을 감안하여 수리액의 50%에 상당하는 비용만을 배상하겠다는 안내를 받음.,,,,,,y
141,5,나. 신청인 주장,,,,,,y
141,6, 운송장[627813174] 발송품목 란에 특수화물 표기를 정확히 기재하였으나 박스의 옆 부분이 터지게끔 배송이 된 점은 화물 운송인으로서 상당한 주의를 기울이지 않은 것으로 보임.,y,,,,,
141,7, 이에 관련법령 및 공정거래위원회 고시 소비자분쟁해결기준에 의거 모니터 수리비의 배상을 요청함.,,,,,,y
141,8,"* 첨부파일: 운송장 사진 1부, 모니터 수리 견적서 1부.",y,,,,,
142,1,"신청인은 2014.6.9. 오후에 지인으로부터 꽃게,바지락,열무김치를 구입(현금 90,000원 상당)하고 2014.6.10. 23:40 피신청인(경동택배 고흥영업소)를 통해 배송받았으나 변질되었고, 이에 대하여 피신청인에게 보상을 요구하였으나 거절함.",y,,,,,
142,2," 배송이 늦어져서 저녁 8시쯤 전화문의하니 배송기사로부터 그냥 기다리라며 폭언을 들었고, 경동택배 홈페이지에서 배송조회를 해보니 물품을 받은 시간은 밤 11시가 넘었으나 4시 30분으로 되어 있음.",,,,,,y
142,3,신청인은 변질된 제품에 대한 전액보상을 요구하며 우리원 피해구제를 신청함.,y,,,,,
143,1,가. 사건개요,,,,,,y
143,2," 2014.4.15. 신청인은 피신청인(KGB택배)과 복숭아엑기스 5L 1통, 페트 6병과 볶음 콩가루 5말(91L)에 대한 운송계약을 체결하고 물건을 발송함.",,,,,,y
143,3," 수하인이 물건을 수령하였으나, 복숭아 엑기스 5L*1통은 완전히 깨져있어 내용물이 없는 상태였으며, 복숭아 엑기스 페트병 6병은 내용물은 30% 가량이 비어있으며, 볶음 콩가루 5말도 30% 가량 내용물이 비어있음을 확인하여 사고접수 신고를 하였지만 현재(2014.7.9)까지 처리가 지연되고 있음.",y,,,,,
143,4,나. 신청인 주장,,,,,,y
143,5, 관련법령 및 소비자분쟁해결기준에 의거 물건의 수하인이 해당 상품을 매매하기로 하였던 금액 약 8만원의 배상을 요청함.,,,,,,y
143,6,* 운송장 번호: 074 7070 461,,,,,,y
144,1," 신청인은 2014.5.31. 현대몰에서 구입한 원피스를 6.9. 피신청인을 통해 반품 신청을 하고 편의점에 수거 요청을 하였으나 현대몰로부터 원피스가 도착하지 않았다는 통보를 받았는바, 택배 운송도중 분실된 원피스에 대한 손해배상을 요구함.",,y,,,,
145,1, 신청인은 2014.6.23. 인천계양에서 전남장성으로 택배의 배송을 의뢰하고 화장품 등을 택배를 보냈으나  도착하지 않아 2014.6.26. 피신청인은 분실된 것 같으니 분실신고하고 배상을 받으라고 하여 2014.6.30. 신고서식을 작성하여 전송하였으며 이후 영수증을 확인하는 전화가와 일본에서 사온 물품이라 영수증이 없음을 주장하니 신청인의 사정이라며 배상을 거부함.,,y,,,,
145,2, 신청인은 조속한 배상을 요구함.,,,,,,y
145,3,*운송장번호: 3155140612344,,,,,,y
146,1," 신청인은 2013. 10. 27. 피신청인2의 택배로 쌀 20kg 8포대를 배송받으며 부재중이므로 집 앞에 쌀을 놓고 갈 것을 요청하였으나, 택배 기사가 쌀 2포대가 물에 젖어있어 발송인에게 반송처리하기로 한 이후 분실되어 보상을 요구함.",,y,,,,
147,1," 신청인은 2014. 6. 10. 피신청인 전북 군산지점을 통하여 경남 창원에 거주하는 수하인(배한곤,동호회 회원)에게 싼타페DM 차량의 휠 4개를 624,000원에 판매하고자 배송료 24,000원을 들여 배송을 의뢰하였는데, 구입자인 수하인이 제품을 받아보니 2개의 휠에 흠집이 있다고 함.",y,,,,,
147,2, 신청인은 피신청인 경남 창원지점 관리부장(전진혁)에게 이의를 제기하였으나 당 지점 영업소장은 과실이 없다고 반박함.,y,,,,,
147,3, 이에 신청인은 피신청인이 동 제품을 배송하는 과정에서 흠집이 발생한 것이라고 주장하며 교환 또는 수리비의 배상을 요구함.,y,,,,,
147,4,* 운송장번호 : 91414060448,,,,,,y
148,1," 신청인은 2014.6.7. 피신청인(광주대리점)을 통해 중고 휴대폰 3개(40만원 상당)를  친구(이수헌)에게 배송의뢰하고, 택배비 6,000원 지불함.",,,,,,y
148,2, 송장번호 1700  2995 2492로 보냈으나 분실되었음.,y,,,,,
148,3, 피신청인측에서는 확인이 안되어 보상할 수 없다고 함.,,,,,,y
148,4, 신청인은  휴대폰 공기계 3개값 40만원 정도 배상요구함.  ,,,,,,y
149,1, 신청인은 2014.6.26. 중앙물물교환을 통해 식탁세트를 75만원에 신용카드 6개월 할부로 구입함.,,,,,,y
149,2, 6.28. 배송 받은 식탁 의자 3개의 밑부분 마감 처리에 문제가 있어 피신청인2에게  가구를 반품하기로 하고 6.30. 피신청인을 통해 중앙물물교환에게 식탁을 운송하여 줄 것 의뢰함.,,,,,,y
149,3," 반품 운반비가 5만원이였으나 우선 중앙물물교환에게 신청인이 부담해 보내겠으나 하자 확인  후 누가 부담해야 할지 여부를 결정하기로 하였는데, 피신청인에게 운송 의뢰시 사정이 생겨 중앙물물교환에 양해를 구하고 착불로 운송을 의뢰함.",,,,,,y
149,4," 그런데  중앙물물교환으로부터 식탁세트 중 의자 1개가 파손되어 반품되었음을 확인하고 피신청인에게 이의제기한 후 중앙물물교환에게는 의자 파손에 따른 손해 비용으로 20만원, 왕복운반비 10만원을 입금한 상태임.",y,,,,,
149,5,  * 현재 반품 운반비 5만원을 중앙물물교환이 신청인에게 입금한 상태이나 다시 반환 요구함.,,,,,,y
149,6, 신청인은 2014.7.7. 피신청인에게 내용증명을 발송하여 손해배상할 것을 요구하였는데 현재 피신청인은 제품 수리가 가능하면 수리비만 배상하겠다는 입장임.,,,,,,y
149,7, 신청인은 중앙물물교환에게 결제한 손해 비용에 대해 피신청인이 배상할 것을 요구함.,,,,,,y
150,1," 신청인은 2014.5.22. 피신청인{(주)마켓비}에게 조명기기(모델명 FillSTA Table Lamp (White)401,561,41)}를 주문하고 물품대금 29,300원을 신용카드로 일시불 결제함.",,,,,,y
150,2," 주문 당일 물품 수령 후 단순 변심으로 피신청인(온라인 게시판)에게 해제하겠다는 의사표시를 하자, 피신청인은 지정 택배사를 통해 반품 요구하나 배송비 발생에 따라 신청인이 타 택배사(선불)로 배송 의뢰하였고 송장 조회 후 입고 완료 확인하였으나 환급 받지 못함.",,,,,y,
150,3, 피신청인은 타 택배 선불로 확인불가 환급처리 불가라고 답변하나 이는 부당하므로 조속한 환급 요구함.,,,,,,y
